ASV_ID	Taxon	F_Group	P_Group	FDR_Group
ASV_00408	Butyricicoccaceae_Butyricicoccus	0.32868959777717266	0.5570523374980084	1
ASV_01614	Lachnospiraceae_Tuzzerella	1.3495722535538328	0.5687363325433407	1
ASV_01061	Lachnospiraceae_[Eubacterium] xylanophilum group	0.3534687136764316	0.5895370453036223	1
ASV_00724	Erysipelotrichaceae_Faecalicoccus	1.2787812974118318	0.5933436939804309	1
ASV_02069	Christensenellaceae_Unclassified	1.2440529963105997	0.6084262548182398	1
ASV_00186	Atopobiaceae_Olsenella	1.1778385752849387	0.6314578314292523	1
ASV_00068	Muribaculaceae_Unclassified	1.1632985793658552	0.6388001588224195	1
ASV_00400	Ruminococcaceae_CAG-352	1.198246192231994	0.6617128735782101	1
ASV_00909	Erysipelatoclostridiaceae_Erysipelotrichaceae UCG-003	1.2888961960750969	0.6674890859832449	1
ASV_00558	Lachnospiraceae_Lachnospiraceae UCG-002	1.1247418368810953	0.6695788161078249	1
ASV_00082	Lachnospiraceae_[Ruminococcus] torques group	1.1066298361367388	0.6758416102039976	1
ASV_00183	Ruminococcaceae_[Eubacterium] siraeum group	1.076691690618074	0.6948644274994231	1
ASV_00204	Spirochaetaceae_Treponema	1.0706462728580277	0.6991578583414142	1
ASV_00948	Dysgonomonadaceae_Unclassified	0.4471156881292882	0.7055587191889985	1
ASV_00230	Atopobiaceae_Libanicoccus	1.0166023413597112	0.7380720605760277	1
ASV_01179	Oscillospiraceae_Pseudoflavonifractor	1.0660302629402625	0.7452883496410259	1
ASV_01028	Prevotellaceae_Prevotella_7	0.9968907653127519	0.761094856891107	1
ASV_01209	Unclassified_Unclassified	0.5031698144712773	0.7832265211678119	1
ASV_00428	Eggerthellaceae_Slackia	0.9180192095324513	0.8113653862654479	1
ASV_01191	Christensenellaceae_Christensenella	0.9397218628536095	0.8131211330492295	1
ASV_00104	Eggerthellaceae_Enterorhabdus	0.5278738961558946	0.8148567000460458	1
ASV_02997	Unclassified_Unclassified	0.5752438762552013	0.8258311931242213	1
ASV_00837	Ethanoligenenaceae_Acetanaerobacterium	0.5414083425303249	0.8272995968315157	1
ASV_00188	UCG-010_Unclassified	0.546565927500392	0.8360174309386961	1
ASV_00507	Prevotellaceae_Unclassified	0.8802300184734879	0.8401237538370321	1
ASV_00031	Aerococcaceae_Ignavigranum	0.5611785775256517	0.8529966678661209	1
ASV_00463	Chlamydiaceae_Chlamydia	0.813421769699002	0.8977983713372879	1
ASV_00976	Rikenellaceae_hoa5-07d05 gut group	0.8361923290272189	0.9077801234240578	1
ASV_00745	Weeksellaceae_Chishuiella	0.661344079570188	0.9086841643921428	1
ASV_00577	Anaerofustaceae_Anaerofustis	0.7968887628891342	0.9129664997293708	1
ASV_00647	Succinivibrionaceae_Succinivibrio	0.634575158450716	0.9286293407223563	1
ASV_00471	Lachnospiraceae_Lachnospira	0.6726000492311287	0.9672982267604838	1
ASV_00475	Carnobacteriaceae_Desemzia	NA	1	1
ASV_01390	Microbacteriaceae_Gulosibacter	NA	1	1
