Comparison	Genus	mean_g1	mean_g2	log2FoldChange	pvalue	p_adj
Group2_vs_Group1	Unclassified	4.186959463533258e-7	8.489953625381176e-6	1.9356843124942102	0.004685498300545059	0.028626000566103756
Group2_vs_Group1	Lachnospiraceae AC2044 group	9.927251357512781e-4	1.1704717311886123e-4	-1.5075162649605152	0.004734350725276042	0.028924463920117136
Group2_vs_Group1	Unclassified	9.388922051446873e-6	1.9580343041335916e-5	1.5810760226461065	0.005351563802287234	0.030916237427978714
Group2_vs_Group1	Unclassified	5.730940057551782e-4	1.643330394803266e-4	-1.4863129607180463	0.006065673761258242	0.030992493670662553
Group2_vs_Group1	Unclassified	8.032053770706526e-5	2.910711042959688e-6	-1.5820677837608383	0.005079614580763413	0.031033849664956033
Group2_vs_Group1	Mogibacterium	0.007695834796548792	0.0056007222881172495	-1.3401656707814018	0.0051358932209754505	0.03137768340114199
Group2_vs_Group1	Aerosphaera	0.007354812877745089	0.0024369350078243374	-1.5368486933775696	0.0068310009414492	0.03490292451835358
Group2_vs_Group1	Syntrophococcus	0.0017623427067673088	7.674503823295289e-4	-1.4058854868534458	0.006295803728218115	0.038464143945390966
Group2_vs_Group1	Unclassified	9.624761646213974e-4	4.1240599085528825e-4	-1.3870475996097296	0.006389366416004008	0.03903576416200989
Group2_vs_Group1	Unclassified	0.0015827972881199755	0.01292064401640201	1.5916925637613188	0.0064305647095263445	0.0392874646852084
Group2_vs_Group1	Frisingicoccus	8.599943760613942e-5	1.2522536596704526e-5	-1.3251058233559962	0.006863091758317404	0.04192998395409976
Group2_vs_Group1	Lachnospiraceae NK4A136 group	7.314365515272976e-4	1.5068972424538127e-4	-1.2763943978100902	0.007572230634581381	0.04626246015434026
Group2_vs_Group1	Mitsuokella	1.79853242143926e-4	4.5918126284787624e-4	1.5737163574357247	0.00794948481699569	0.04856729045128024
Group2_vs_Group1	Roseburia	4.398009369358785e-4	5.1605392749393817e-5	-1.3021617800381708	0.008933516712970735	0.054579222545667924
Group2_vs_Group1	[Bacteroides] pectinophilus group	4.2148286689623285e-5	4.773392441443569e-5	-1.1817485885327064	0.010920659506706886	0.055798990180254165
