Kingdom	Phylum	Class	Order	Family	0-12	0-13	0-22	0-23	0-32	0-33	0-42	0-43	0-52	0-53	0-62	0-63	0-72	0-73	0-82	0-83	21-11	21-12	21-13	21-21	21-22	21-23	21-31	21-32	21-33	21-41	21-42	21-43	21-51	21-52	21-53	21-61	21-62	21-63	21-71	21-72	21-73	21-81	21-82	21-83	35-11	35-12	35-21	35-22	35-23	35-31	35-32	35-33	35-41	35-42	35-43	35-51	35-52	35-53	35-61	35-62	35-63	35-71	35-72	35-73	35-81	35-82	35-83
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Promicromonosporaceae	0	0	38	0	41	0	0	0	11	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Sanguibacteraceae	0	7	86	0	10	27	0	13	0	0	0	0	0	4	0	0	0	6	0	93	0	32	20	0	22	13	18	0	0	0	0	0	11	24	536	873	0	251	13	0	0	0	49	0	0	43	17	0	0	0	0	0	0	0	22	0	0	0	8	0	31	132	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	0	0	15	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9	25	192	49	30	21	28	0	29	27	37	0	0	18	0	0	7	0	107	275	0	57	13	0	9	6	36	0	24	26	4	0	102	15	10	0	0	8	7	0	0	31	0	0	0	36	0
Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	0	10	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Nocardiopsaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	282	706	342	128	279	295	100	769	741	101	736	633	56	207	238	491	3325	260	1010	260	137	839	351	65	99	297	100	39	1258	89	87	2455	72	78	685	35	23	1040	436	63	7978	295	695	236	127	536	150	2674	211	969	158	95	1630	0	447	679	73	211	379	247	174	112	34
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	1940	2951	743	2148	2729	2730	559	1952	2409	1084	5549	4549	2633	2426	669	1535	2583	1871	888	1178	1662	2464	2804	339	284	1073	603	1967	845	898	173	2180	896	413	1775	335	110	1232	1568	79	3363	1070	1766	701	844	1896	1277	1167	2221	1357	1984	388	1532	220	529	760	251	760	536	1180	428	447	163
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriales Incertae Sedis	0	0	0	0	15	0	13	0	0	0	20	0	4	0	0	0	178	18	35	0	4	0	0	0	0	0	0	0	41	0	16	0	0	10	29	12	0	14	0	0	130	66	22	73	6	34	0	0	26	11	6	0	0	0	0	0	0	9	0	4	0	0	4
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	1171	1336	510	940	1477	938	1078	1721	1919	417	2262	2035	1533	496	560	1081	3531	334	1513	1276	1235	2406	1649	96	856	3142	684	260	1767	1067	239	3046	1205	482	2067	306	57	2186	140	283	4326	2628	1618	808	1036	1823	1943	2034	1628	1271	1163	662	2184	364	880	2305	367	1064	798	2532	904	1018	438
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Unclassified	0	4	0	0	0	22	11	5	0	4	0	0	0	0	0	8	0	143	0	7	14	4	4	0	20	15	13	0	7	0	0	15	0	0	34	17	0	38	4	0	0	0	6	0	0	0	11	0	0	4	0	0	0	0	0	0	0	0	0	0	8	0	0
